name,type,value,date
王励勤,中国,2218,2001-01
孔令辉,中国,2119,2001-01
马琳,中国,2075,2001-01
蒋澎龙,中国台湾,2058,2001-01
刘国正,中国,2053,2001-01
刘国梁,中国,2052,2001-01
萨姆索诺夫,白俄罗斯,2021,2001-01
施拉格,澳大利亚,1993,2001-01
佐兰·普里莫拉茨,克罗地亚,1963,2001-01
金泽洙,韩国,1949,2001-01
王励勤,中国,2278,2001-02
孔令辉,中国,2120,2001-02
马琳,中国,2075,2001-02
萨姆索诺夫,白俄罗斯,2064,2001-02
刘国正,中国,2052,2001-02
刘国梁,中国,2052,2001-02
佐兰·普里莫拉茨,克罗地亚,2052,2001-02
蒋澎龙,中国台湾,2043,2001-02
金泽洙,韩国,2000,2001-02
施拉格,澳大利亚,1986,2001-02
王励勤,中国,2278,2001-03
孔令辉,中国,2120,2001-03
马琳,中国,2075,2001-03
蒋澎龙,中国台湾,2053,2001-03
刘国正,中国,2052,2001-03
刘国梁,中国,2052,2001-03
佐兰·普里莫拉茨,克罗地亚,2031,2001-03
萨姆索诺夫,白俄罗斯,2025,2001-03
金泽洙,韩国,2000,2001-03
施拉格,澳大利亚,1989,2001-03
王励勤,中国,2361,2001-04
孔令辉,中国,2180,2001-04
马琳,中国,2131,2001-04
刘国正,中国,2099,2001-04
蒋澎龙,中国台湾,2099,2001-04
萨姆索诺夫,白俄罗斯,2070,2001-04
金泽洙,韩国,2044,2001-04
刘国梁,中国,2040,2001-04
佐兰·普里莫拉茨,克罗地亚,2021,2001-04
施拉格,澳大利亚,1998,2001-04
王励勤,中国,2313,2001-05
孔令辉,中国,2156,2001-05
马琳,中国,2101,2001-05
刘国正,中国,2081,2001-05
蒋澎龙,中国台湾,2081,2001-05
萨姆索诺夫,白俄罗斯,2070,2001-05
佐兰·普里莫拉茨,克罗地亚,2021,2001-05
刘国梁,中国,2010,2001-05
金泽洙,韩国,2005,2001-05
施拉格,澳大利亚,1998,2001-05
王励勤,中国,2310,2001-06
孔令辉,中国,2108,2001-06
马琳,中国,2096,2001-06
刘国正,中国,2080,2001-06
蒋澎龙,中国台湾,2059,2001-06
萨姆索诺夫,白俄罗斯,2040,2001-06
施拉格,澳大利亚,1999,2001-06
佐兰·普里莫拉茨,克罗地亚,1997,2001-06
金泽洙,韩国,1974,2001-06
刘国梁,中国,1955,2001-06
王励勤,中国,2274,2001-07
刘国正,中国,2128,2001-07
孔令辉,中国,2090,2001-07
马琳,中国,2084,2001-07
蒋澎龙,中国台湾,2033,2001-07
萨姆索诺夫,白俄罗斯,2022,2001-07
佐兰·普里莫拉茨,克罗地亚,1988,2001-07
施拉格,澳大利亚,1974,2001-07
让-米歇尔·塞弗,比利时,1968,2001-07
金泽洙,韩国,1956,2001-07
王励勤,中国,2274,2001-08
刘国正,中国,2128,2001-08
孔令辉,中国,2090,2001-08
马琳,中国,2084,2001-08
蒋澎龙,中国台湾,2033,2001-08
萨姆索诺夫,白俄罗斯,2022,2001-08
佐兰·普里莫拉茨,克罗地亚,1988,2001-08
施拉格,澳大利亚,1974,2001-08
让-米歇尔·塞弗,比利时,1968,2001-08
金泽洙,韩国,1954,2001-08
王励勤,中国,2291,2001-09
刘国正,中国,2117,2001-09
马琳,中国,2076,2001-09
蒋澎龙,中国台湾,2068,2001-09
孔令辉,中国,2062,2001-09
金泽洙,韩国,2031,2001-09
萨姆索诺夫,白俄罗斯,2017,2001-09
佐兰·普里莫拉茨,克罗地亚,1985,2001-09
刘国梁,中国,1963,2001-09
施拉格,澳大利亚,1932,2001-09
王励勤,中国,2264,2001-10
刘国正,中国,2120,2001-10
萨姆索诺夫,白俄罗斯,2052,2001-10
蒋澎龙,中国台湾,2049,2001-10
孔令辉,中国,2048,2001-10
马琳,中国,2039,2001-10
金泽洙,韩国,2000,2001-10
施拉格,澳大利亚,1988,2001-10
刘国梁,中国,1963,2001-10
佐兰·普里莫拉茨,克罗地亚,1955,2001-10
王励勤,中国,2317,2001-11
萨姆索诺夫,白俄罗斯,2126,2001-11
马琳,中国,2092,2001-11
刘国正,中国,2049,2001-11
孔令辉,中国,2030,2001-11
蒋澎龙,中国台湾,2026,2001-11
金泽洙,韩国,1985,2001-11
刘国梁,中国,1983,2001-11
瓦尔德内尔,瑞典,1976,2001-11
施拉格,澳大利亚,1965,2001-11
王励勤,中国,2317,2001-12
萨姆索诺夫,白俄罗斯,2121,2001-12
马琳,中国,2092,2001-12
刘国正,中国,2049,2001-12
孔令辉,中国,2030,2001-12
蒋澎龙,中国台湾,2026,2001-12
金泽洙,韩国,1985,2001-12
刘国梁,中国,1983,2001-12
瓦尔德内尔,瑞典,1976,2001-12
施拉格,澳大利亚,1975,2001-12
王励勤,中国,2309,2002-01
马琳,中国,2159,2002-01
萨姆索诺夫,白俄罗斯,2108,2002-01
蒋澎龙,中国台湾,2041,2002-01
瓦尔德内尔,瑞典,2030,2002-01
刘国正,中国,2012,2002-01
孔令辉,中国,2012,2002-01
施拉格,澳大利亚,1997,2002-01
金泽洙,韩国,1978,2002-01
蒂姆·波尔,德国,1970,2002-01
王励勤,中国,2273,2002-02
马琳,中国,2159,2002-02
萨姆索诺夫,白俄罗斯,2113,2002-02
蒋澎龙,中国台湾,2032,2002-02
蒂姆·波尔,德国,2017,2002-02
刘国正,中国,2012,2002-02
孔令辉,中国,2012,2002-02
瓦尔德内尔,瑞典,2006,2002-02
施拉格,澳大利亚,1973,2002-02
刘国梁,中国,1968,2002-02
王励勤,中国,2288,2002-03
马琳,中国,2180,2002-03
萨姆索诺夫,白俄罗斯,2103,2002-03
让-米歇尔·塞弗,比利时,2063,2002-03
孔令辉,中国,2052,2002-03
蒂姆·波尔,德国,2050,2002-03
刘国正,中国,2003,2002-03
瓦尔德内尔,瑞典,2000,2002-03
蒋澎龙,中国台湾,1983,2002-03
施拉格,澳大利亚,1979,2002-03
王励勤,中国,2288,2002-04
马琳,中国,2180,2002-04
蒂姆·波尔,德国,2119,2002-04
萨姆索诺夫,白俄罗斯,2119,2002-04
孔令辉,中国,2052,2002-04
让-米歇尔·塞弗,比利时,2049,2002-04
施拉格,澳大利亚,2017,2002-04
瓦尔德内尔,瑞典,2013,2002-04
刘国正,中国,2003,2002-04
蒋澎龙,中国台湾,1983,2002-04
王励勤,中国,2252,2002-05
